Name,Age,Height,Weight,ValueEUR,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Overall
Sivera,24,184,75,3000000,Medium,Medium,72,70,68,72,56,73,72
G. Kvilitaia,27,193,82,2500000,Medium,Low,61,71,59,71,37,73,72
Jacson Zonta,25,181,74,2600000,Medium,Medium,73,61,72,74,32,62,72
M. Lestienne,29,178,68,2300000,High,Medium,76,70,69,75,36,53,72
M. Carcela-González,32,175,68,1900000,Medium,Medium,71,69,69,77,32,48,72
C. Tarragona,30,180,77,2300000,High,Medium,83,71,53,70,43,80,72
G. Shoji,28,182,76,2200000,High,High,81,41,53,57,71,76,72
J. Bidwell,28,183,80,2100000,High,Medium,68,43,67,64,69,75,72
C. Austin,31,188,84,2000000,Medium,Low,50,75,57,66,36,69,72
Luquinha,20,167,65,5000000,Medium,Low,76,59,74,76,34,47,72
S. Bguir,27,175,66,2700000,Medium,Medium,70,68,70,75,33,61,72
C. Suárez,34,179,75,750000,Medium,Medium,70,38,62,61,72,73,72
M. Bard,20,173,65,4900000,Medium,Medium,78,49,63,73,68,70,72
L. Morales,21,187,76,5000000,Medium,Medium,71,70,69,73,52,74,72
V. Fiorillo,31,190,79,1200000,Medium,Medium,73,68,64,76,39,70,72
J. Morel,37,172,71,425000,Low,High,50,44,60,56,74,71,72
G. Gönül,36,175,75,525000,High,Medium,71,63,69,72,72,68,72
Dener,29,188,83,2300000,High,Medium,65,67,68,70,71,76,72
B. Dejaegere,30,174,72,2200000,High,High,74,61,71,76,67,73,72
L. Zingerle,27,185,78,2000000,Medium,Medium,70,69,67,75,43,72,72
R. Tesche,34,182,78,800000,Medium,High,58,67,68,68,71,71,72
Fidalgo,24,172,67,3700000,High,High,79,65,70,75,50,64,72
K. Pedersen,26,191,83,2500000,Medium,High,65,37,57,65,72,82,72
M. Aramu,26,180,69,2800000,Medium,Medium,74,63,70,75,52,60,72
L. Travis,23,183,63,4900000,Medium,High,69,59,65,69,69,75,72
K. Sulemana,19,174,69,5500000,High,Medium,93,66,60,76,28,63,72
Fran García,21,167,69,5000000,High,Medium,90,49,63,70,65,60,72
Pêpê,24,183,69,3200000,Medium,Medium,59,64,70,72,66,71,72
Ailton Valpaços,29,186,79,2000000,Medium,Medium,64,58,60,63,71,76,72
I. Akhmetov,23,173,67,3700000,Medium,Medium,75,58,72,77,61,54,72
A. Ruiz,27,183,77,2500000,Medium,Low,54,72,74,75,34,68,72
I. Pandur,21,187,78,4099999,Medium,Medium,71,69,62,77,39,69,72
Pedro Trigueira,33,192,84,750000,Medium,Medium,67,69,72,75,45,70,72
N. Poulsen,27,180,79,2200000,Medium,High,61,45,66,65,69,80,72
F. Farías,18,173,73,5500000,High,Medium,82,71,66,77,35,66,72
T. Ouwejan,24,183,76,3100000,High,Medium,71,53,70,71,68,73,72
C. Dájome,27,172,69,2500000,High,High,83,64,62,72,52,69,72
L. Jara,30,183,80,2000000,Medium,Medium,70,51,65,69,68,74,72
Pimentiscinho,21,178,75,2500000,Medium,Medium,65,55,69,67,73,68,72
J. Burkardt,20,181,76,5000000,Medium,Medium,79,69,61,77,37,71,72
Y. Salmier,28,188,85,2200000,Medium,Medium,43,28,45,52,72,80,72
M. Bero,25,181,81,3100000,Medium,High,72,73,70,73,67,81,72
J. Serra,23,193,87,3600000,Medium,High,61,72,52,61,37,77,72
Calegarcinho,37,175,75,800000,Medium,Medium,66,70,62,65,25,70,72
C. Atsu,29,165,65,2300000,Medium,Low,82,66,68,76,34,40,72
N. Cozza,22,178,72,4900000,Medium,Medium,77,37,61,66,73,71,72
Sacramentinho,37,188,77,250000,Medium,Medium,74,68,72,71,46,74,72
C. Hountondji,27,195,81,2500000,Medium,Medium,41,33,52,55,73,72,72
Y. Suzuki,25,182,75,3300000,High,Medium,70,71,65,68,44,71,72
Caio Milaçar,25,170,67,2600000,Medium,Medium,66,68,69,76,31,52,72
S. Al Ghannam,27,170,62,2500000,High,Medium,81,59,69,71,66,68,72
Douglas Augusto,24,174,68,3300000,Medium,Medium,72,66,67,73,68,76,72
Coke,34,177,74,850000,High,Medium,60,66,67,68,73,65,72
Daniel Candeias,33,177,78,1500000,Medium,High,75,64,69,73,56,79,72
Timo Triano,25,176,76,2300000,Medium,Medium,48,46,67,64,74,68,72
E. Akbaba,28,180,73,2400000,High,Medium,69,72,73,71,55,61,72
F. Macheda,29,185,77,2300000,Medium,Low,69,73,58,71,30,63,72
M. de los Santos,28,187,83,2200000,Medium,Medium,56,53,59,61,70,82,72
Vadillo,26,180,69,2600000,Medium,Low,83,68,67,76,34,55,72
C. Baeza,27,171,64,2700000,Medium,High,69,66,69,71,68,72,72
D. Antolić,30,180,73,2200000,High,High,60,69,74,68,68,69,72
S. Vittor,32,189,86,1500000,High,High,45,61,66,62,71,79,72
Dalbert,27,181,70,2000000,Medium,Medium,82,57,67,72,66,68,71
Y. Valery,22,180,85,4000000,High,High,72,52,60,69,70,73,71
S. Tecl,30,181,82,1800000,High,High,81,66,63,70,39,75,71
M. Barrow,28,177,60,1900000,Medium,Low,92,63,62,75,37,55,71
M. Loum,24,188,80,3900000,Medium,High,49,53,59,61,70,80,71
G. Ortíz,28,183,76,1800000,Low,High,65,41,48,47,71,77,71
G. Silva,27,185,74,2100000,Low,Medium,64,55,68,66,72,76,71
P. Roberts,24,170,66,2800000,Medium,Low,76,64,68,79,27,39,71
P. Hatzidiakos,24,181,74,2700000,Medium,Medium,72,52,65,63,69,73,71
Z. Youssouf,21,182,81,3000000,Medium,Medium,64,57,71,76,64,71,71
A. Álvarez Martínez,20,180,75,4099999,High,Low,71,71,59,67,32,69,71
O. Zubkov,24,182,71,2600000,High,Medium,85,71,63,71,20,56,71
Daniel Ayala,30,190,84,1500000,Medium,Medium,57,41,50,61,71,75,71
Eugeni,26,184,75,2200000,Medium,Medium,63,69,73,72,57,65,71
Y. Çetin,24,189,90,3900000,Medium,High,59,42,54,59,72,71,71
D. Jevtić,28,182,72,1900000,High,Low,71,75,70,70,45,65,71
Matheus Thuler,22,186,86,2700000,Low,Medium,65,34,44,51,70,76,71
N. Ibáñez,26,178,80,2200000,Medium,Medium,73,70,55,68,34,71,71
C. De Norre,24,175,75,2600000,High,Medium,70,63,66,71,65,70,71
W. Sandilands,37,180,81,210000,Medium,Medium,69,71,69,75,53,70,71
B. Sigurðarson,30,185,81,1800000,High,Medium,75,69,62,73,39,78,71
Willyan,26,193,86,2400000,Medium,Medium,56,45,55,63,70,78,71
A. Schöpf,27,178,74,2100000,High,High,70,66,69,71,63,71,71
Zeng Cheng,34,192,80,325000,Medium,Medium,70,66,69,74,33,71,71
V. Černý,23,182,65,2700000,Medium,High,83,65,61,75,27,53,71
I. Fossum,24,180,73,2700000,High,High,70,67,68,71,62,73,71
Z. Živković,32,194,87,925000,Medium,Medium,71,67,67,73,29,72,71
M. Torrén,32,176,70,1200000,Medium,Medium,67,45,58,56,72,75,71
L. Holtby,30,176,72,1800000,Medium,Low,67,65,73,74,54,66,71
Gerard Valentín,27,177,75,2000000,High,Medium,91,49,59,77,60,67,71
N. Theuerkauf,34,183,80,700000,Medium,High,60,56,64,63,73,76,71
E. Vignato,20,175,67,4099999,Medium,Low,73,61,70,76,39,48,71
R. Bauer,26,183,79,2300000,Medium,Medium,70,51,60,63,70,75,71
M. Boyle,28,172,70,1900000,High,Medium,92,66,60,71,49,63,71
K. Aktürkoğlu,22,173,71,2900000,High,Medium,85,63,61,74,34,48,71
S. Nicholson,24,192,83,2900000,Medium,Medium,68,74,58,65,24,77,71
Ale Díez,25,175,74,2600000,High,Medium,82,38,61,69,63,64,71
M. Waris,29,172,73,1900000,Medium,Medium,87,69,66,73,37,65,71
A. Obispo,22,185,79,3900000,Medium,Medium,74,42,57,60,70,76,71
Jesé,28,178,80,1900000,Medium,Low,74,73,69,75,25,62,71
S. Ameobi,29,190,78,1800000,Medium,Medium,79,66,65,74,33,65,71
J. Van Cleemput,24,183,73,2600000,High,High,72,31,64,68,66,72,71
K. Karaman,27,189,83,2200000,High,High,68,71,63,74,27,69,71
R. Petrović,32,193,88,1200000,Medium,Medium,39,54,60,59,71,78,71
M. Diaby,24,197,77,3500000,Medium,High,33,45,53,51,74,79,71
D. Appiah,29,179,68,1600000,Low,Medium,75,39,59,63,69,75,71
A. Witry,25,178,76,2600000,High,Medium,76,57,67,67,65,67,71
I. Chebake,31,176,73,1400000,Medium,Medium,70,45,57,69,70,71,71
S. Papagiannopoulos,30,190,88,1500000,Medium,Medium,67,39,57,60,69,78,71
T. Barkhuizen,27,179,70,2000000,High,Medium,94,66,60,70,41,68,71
K. Paal,24,174,70,2800000,High,Medium,83,52,67,74,64,71,71
F. Soldano,26,180,76,2200000,Medium,High,69,69,53,69,43,76,71
D. Blum,30,183,83,1800000,Medium,Low,80,70,65,73,32,66,71
J. Hogg,32,176,73,1200000,Low,High,66,53,60,65,69,79,71
J. Martínez,34,177,70,700000,High,High,79,57,69,71,64,70,71
Gonzalo Verdú,32,185,80,1200000,High,Medium,57,53,55,55,72,77,71
K. Rezaei,29,185,79,1900000,High,High,67,73,67,67,28,70,71
F. Aursnes,25,179,71,2400000,High,High,74,65,70,71,67,72,71
S. Vecchia,26,183,80,2000000,Medium,Medium,77,67,66,72,39,65,71
M. Erlić,23,193,88,2400000,Low,Medium,54,33,49,50,71,73,71
T. Leistner,30,190,87,1500000,Low,High,58,37,51,48,71,78,71
M. Fall,33,192,87,900000,Medium,High,63,36,48,44,70,83,71
A. Wilkinson,36,187,85,325000,Medium,High,32,46,54,50,71,82,71
T. Hübers,24,190,82,2400000,Medium,High,83,39,54,55,72,71,71
F. Belluschi,37,173,78,600000,High,Medium,52,72,74,74,63,59,71
B. Bianchi,32,183,76,1200000,Low,Medium,59,35,54,56,73,73,71
K. Naughton,32,180,73,1300000,Medium,Medium,68,52,64,67,70,68,71
Vivian,21,183,83,3900000,High,Medium,68,38,53,56,72,74,71
E. Remedi,26,169,77,2200000,Medium,High,54,50,63,64,66,83,71
D. Heuer Fernandes,28,188,81,1300000,Medium,Medium,71,69,70,74,43,68,71
Y. Sugawara,21,179,67,4000000,High,Medium,78,47,64,70,64,70,71
P. Sisto,26,171,64,2200000,High,Low,70,69,69,76,47,60,71
Ivanildo Fernandes,25,193,83,2500000,Medium,Medium,62,28,47,48,70,81,71
S. Strandberg,30,189,80,1500000,Medium,Medium,67,43,53,57,71,75,71
L. Haraslín,25,182,75,2500000,High,Medium,79,62,66,74,40,61,71
P. Žulj,28,185,80,1900000,High,Medium,52,70,72,71,66,69,71
Samuel Portugal,27,188,80,2000000,Medium,Medium,74,67,72,75,43,67,71
Arsénio,31,180,70,1600000,High,Medium,74,66,67,73,40,63,71
P. Farkas,28,179,78,1700000,High,Medium,83,61,64,67,64,77,71
Eduardo Quaresma,19,184,76,4200000,Medium,Medium,58,31,47,55,72,66,71
Unai Bilbao,27,192,87,2100000,Low,High,32,46,56,49,72,75,71
H. Faik,29,190,82,1800000,Medium,Medium,48,69,75,68,60,70,71
D. Kownacki,24,186,75,2900000,Medium,Medium,77,71,60,71,31,67,71
M. Gibbs-White,21,178,70,4200000,Medium,Medium,70,62,71,72,56,64,71
H. Soudani,33,182,75,1200000,High,Medium,73,71,68,73,43,74,71
G. Ávalos,30,189,88,1800000,High,Medium,67,69,48,69,34,75,71
E. García,31,176,73,1400000,Medium,High,70,52,60,70,67,66,71
L. Pocrnjic,39,192,86,210000,Medium,Medium,71,68,64,70,27,72,71
J. Lindstrøm,21,182,63,4600000,High,Medium,81,65,66,73,46,59,71
Y. Sarı,22,168,55,3800000,High,Low,80,65,64,77,32,39,71
O. Çağlayan,25,188,78,2400000,High,Low,84,66,66,74,31,66,71
C. Sapong,32,185,84,1500000,Medium,Medium,73,69,60,67,40,81,71
G. Blanco Leschuk,29,190,88,1900000,Medium,Medium,66,70,54,65,35,78,71
Jair Amador,31,191,80,1300000,Low,High,64,29,48,45,70,81,71
K. Rüegg,22,173,77,4000000,Medium,Medium,78,52,64,71,65,78,71
J. Frick,28,192,90,1600000,Medium,Medium,72,67,69,72,45,69,71
H. Evjen,21,173,65,4200000,High,High,82,64,64,74,54,62,71
K. Grosicki,33,180,78,1200000,Medium,Low,78,71,70,72,38,58,71
A. Benali,29,173,66,1800000,Medium,Medium,78,62,70,79,44,63,71
G. Efrem,31,171,66,1600000,Medium,Medium,74,56,65,75,33,48,71
D. Roef,27,187,87,1700000,Medium,Medium,75,70,64,72,50,69,71
David Juncà,27,175,67,2000000,High,Medium,69,45,62,63,67,74,71
Rober Ibáñez,28,179,72,1900000,Medium,Medium,75,67,70,74,48,53,71
E. Fernandes,25,187,77,2600000,Medium,Medium,67,65,67,72,70,69,71
Vagner,25,169,67,2800000,High,Low,89,73,62,76,29,55,71
Ivi López,27,174,70,2200000,Medium,Medium,79,71,68,74,39,66,71
Jony Reitosa,29,176,74,1600000,Medium,Medium,74,42,54,58,67,74,71
T. Pekhart,32,196,89,1500000,Medium,Medium,50,71,53,58,33,77,71
B. Dabo,29,186,81,1800000,High,High,61,67,69,73,72,77,71
Arribas,32,182,76,1200000,Medium,Medium,69,41,55,58,71,74,71
J. Holland,32,182,76,1500000,Medium,Medium,65,62,68,71,68,79,71
Sergio Ruiz,26,177,75,2500000,High,Medium,63,62,65,68,66,72,71
A. Cervantes,23,181,68,3500000,Medium,High,59,49,65,63,67,72,71
D. de Wit,23,183,73,2900000,High,High,62,70,68,68,64,80,71
A. Pešić,29,190,87,1900000,High,Medium,66,70,62,66,45,77,71
L. Orbán,32,179,76,1200000,Medium,High,66,51,60,60,69,78,71
P. De Blasis,33,166,65,1200000,Medium,Medium,72,71,68,77,63,50,71
L. Thomas,20,177,68,3900000,High,High,77,42,63,67,67,67,71
T. Smith,29,186,84,1600000,Medium,Medium,69,46,66,66,68,71,71
R. Hack,22,176,68,4200000,High,Low,83,67,63,77,33,51,71
K. Behrens,30,184,84,1800000,High,Medium,69,71,50,65,28,80,71
R. Mirzov,28,179,75,1900000,Medium,Medium,81,66,65,76,50,65,71
D. Joveljić,21,181,75,4200000,Medium,Medium,72,70,63,72,31,69,71
S. Davis,28,183,75,1600000,Medium,High,70,57,69,69,67,78,71
Bernardo Motinho,29,179,74,1600000,Medium,Medium,72,52,66,66,69,63,71
J. Cristaldo,32,174,73,1500000,High,Medium,74,70,64,74,29,70,71
J. Green,26,173,70,2200000,Medium,Low,74,68,66,76,33,60,71
Zhang Linpeng,32,185,80,1300000,High,High,73,56,64,68,68,83,71
S. Gürler,29,175,65,1800000,High,Low,81,66,68,73,44,52,71
J. Bennett,31,178,74,1400000,Medium,Medium,69,44,65,67,69,70,71
A. Estupiñán,26,175,72,2000000,Medium,Medium,83,65,62,72,46,64,71
Jon Bautista,25,180,72,2500000,Medium,Medium,70,75,58,69,26,61,71
M. Morishige,34,183,79,600000,Medium,High,52,59,64,64,72,76,71
N. Fernández,25,165,66,2800000,High,Low,85,70,60,75,31,58,71
M. Okoye,21,198,94,3600000,Medium,Medium,71,68,66,74,24,69,71
L. Manyama,30,181,75,1800000,Medium,Medium,73,74,65,69,38,63,71
F. Ogier,32,183,73,1200000,Medium,High,41,31,39,51,73,78,71
D. Luckassen,25,186,78,2100000,Medium,Medium,75,58,64,67,68,79,71
P. Terracciano,31,193,78,1000000,Medium,Medium,72,67,64,75,41,69,71
G. González,26,173,73,2000000,High,Medium,74,43,59,65,68,63,71
M. Müldür,22,188,74,4000000,High,Medium,77,49,60,72,67,72,71
Guitián,30,181,69,1500000,Low,Medium,66,41,58,61,70,76,71
J. Duverne,23,184,71,2600000,Medium,Medium,61,35,59,66,72,73,71
O. Martínez,35,165,72,775000,High,Medium,53,71,72,72,60,72,71
Alberto Soro,22,173,63,4200000,Medium,Medium,79,63,69,71,44,61,71
Jairo,27,165,64,2000000,High,Medium,87,66,65,75,30,42,71
Hao Junmin,34,181,71,650000,High,Medium,69,70,74,73,62,66,71
Insua,27,187,80,2000000,Low,Medium,47,36,55,52,72,63,71
Ignasi Miquel,28,189,82,1800000,Low,High,59,28,56,59,70,72,71
Pedrildo Rocha,29,174,74,1800000,High,High,77,71,66,76,43,63,71
Vanderlei Cõembra,21,166,64,2000000,Medium,Medium,87,36,60,68,64,67,71
Samu,25,173,70,2500000,High,Medium,77,58,64,77,44,56,71
Paulinho,29,176,70,1600000,High,Medium,84,49,61,69,65,67,71
F. Hübner,30,193,84,1500000,Medium,Medium,51,43,46,42,75,71,71
Hugo Fraile,34,170,73,875000,High,Medium,83,69,67,70,47,72,71
N. Silva,31,163,58,1600000,Medium,Medium,87,60,67,74,23,41,71
Miguelón,25,170,67,2400000,Medium,Medium,75,50,63,73,66,66,71
N. Rasskazov,23,180,73,2600000,Medium,Medium,75,47,64,71,68,57,71
Hong Chul,30,177,71,1600000,Medium,Medium,87,49,67,70,64,74,71
Luna,30,178,68,1600000,High,Medium,69,61,66,68,68,75,71
T. Kempe,32,184,77,1500000,Medium,Medium,70,70,75,71,42,70,71
L. González Pirez,29,185,89,1600000,High,High,68,48,62,67,69,80,71
F. Higuaín,36,173,75,600000,Medium,Low,44,70,74,70,42,55,71
L. Rosić,28,190,82,1900000,Medium,Medium,52,29,46,47,71,73,71
Eduardo Henrique,26,186,76,2400000,Medium,High,71,67,70,72,67,74,71
Tiago Silva,28,170,62,1900000,Medium,Medium,70,70,72,73,62,58,71
N. Marsman,30,188,88,1200000,Medium,Medium,72,67,69,73,44,70,71
Y. Musah,18,178,73,4000000,High,Medium,88,66,62,72,57,68,71
Eduardo Fonseira,21,191,87,1600000,Medium,Medium,71,70,74,69,35,72,71
M. Higashiguchi,35,184,78,210000,Medium,Medium,67,71,74,70,33,72,71
J. Hergault,35,185,80,575000,Low,Medium,48,44,67,70,69,72,71
A. Esiti,27,189,84,2000000,Low,High,56,46,57,58,71,81,71
G. Wüthrich,26,192,88,2300000,Medium,Medium,55,35,49,51,71,80,71
J. Une-Larsson,27,181,74,2100000,Medium,High,68,44,54,49,71,75,71
E. Löwen,24,188,91,2800000,Medium,High,53,62,68,67,70,85,71
A. Ragusa,31,183,77,1600000,High,Medium,81,67,65,73,44,64,71
A. Adli,21,174,60,4600000,Medium,Medium,84,72,64,75,35,52,71
Jean,25,188,90,2000000,Medium,Medium,71,73,68,75,30,74,71
Nathael Silbeira,25,188,83,1500000,Medium,Medium,61,73,69,70,16,73,71
Alexandre Frandeira,21,192,85,1900000,Low,Medium,49,44,53,49,70,81,71
B. Brereton Díaz,22,188,75,4200000,High,Medium,83,69,62,73,41,73,71
M. Schuhen,28,188,85,1700000,Medium,Medium,72,67,70,74,52,68,71
N. Pasquini,30,172,76,1600000,Medium,Medium,77,59,72,63,66,71,71
Henrique Gomes,25,185,78,2400000,Medium,Medium,66,36,54,62,71,73,71
N. Byrne,29,172,70,1600000,High,Medium,85,52,63,73,63,66,71
M. Osmajić,21,185,76,4200000,Medium,Medium,76,70,60,65,39,71,71
P. Musa,23,190,81,3800000,Medium,Medium,72,72,58,69,35,72,71
J. Cabrera,29,169,64,1800000,Medium,Low,74,62,67,71,40,63,71
Saúl,26,183,71,2300000,High,Medium,69,45,67,68,68,65,71
M. Melluso,23,170,63,4000000,Medium,High,74,44,61,69,67,62,71
J. Fernández,26,180,78,2500000,Medium,High,67,54,61,67,69,76,71
D. Stipica,30,189,79,1200000,Medium,Medium,72,71,66,76,29,73,71
S. Adegbenro,25,178,75,2300000,High,Medium,90,66,60,76,39,73,71
A. Callens,29,186,76,1700000,Medium,Medium,41,33,49,51,70,78,71
I. Sylla,27,180,75,1800000,Medium,High,62,61,67,67,65,74,71
F. Selemani,27,182,65,2200000,High,Medium,84,68,69,73,56,60,71
P. Tschauner,35,196,100,210000,Medium,Medium,71,69,66,71,42,71,71
T. Lawrence,27,180,75,2000000,Medium,Low,74,72,69,72,42,69,71
Pedro Henrique,31,181,75,1600000,High,Medium,80,68,67,73,31,61,71
R. Schoofs,27,179,69,2100000,High,Medium,61,64,72,72,61,63,71
J. Vuković,29,184,76,1600000,Medium,Medium,55,49,64,68,66,74,71
G. Acosta,32,185,84,1500000,Medium,Medium,67,69,68,72,61,75,71
Moon Seon Min,29,172,68,1800000,High,Medium,92,64,64,73,38,62,71
A. Pascanu,22,187,80,3900000,Medium,High,71,39,49,60,71,79,71
N. Moisander,35,183,77,500000,High,Medium,46,49,68,66,72,67,71
O. Solet,21,192,81,3900000,Medium,Medium,85,42,56,64,69,78,71
Angulo,37,183,79,650000,Medium,Medium,75,71,61,69,37,69,71
B. Aaronson,20,176,66,4099999,High,High,80,64,65,74,53,57,71
R. Walter,26,174,73,2400000,Medium,High,64,61,71,73,66,68,71
Lee Seung Gi,33,177,67,1200000,High,Medium,75,67,71,73,53,69,71
M. Estigarribia,33,181,74,1200000,High,High,75,65,70,71,65,69,71
M. Trávník,27,174,68,2100000,Medium,Medium,69,68,72,72,65,66,71
M. Di Gregorio,23,187,81,2300000,Medium,Medium,74,71,67,74,28,71,71
D. Arslanagic,28,191,87,1800000,Medium,High,50,32,55,56,71,74,71
A. Moreno,22,177,70,4200000,Medium,Medium,73,66,71,74,50,59,71
M. Vrousai,22,183,78,3800000,Medium,Medium,81,68,66,73,41,64,71
L. Mothiba,25,182,76,2800000,High,Medium,70,72,60,70,27,69,71
S. Sasaki,31,176,70,1300000,Medium,High,73,37,63,65,72,69,71
A. Bouzat,27,169,72,2000000,High,High,86,60,67,75,54,63,71
A. Bobichon,25,178,75,2200000,Medium,Medium,65,73,72,72,56,65,71
L. Magallán,27,185,83,1900000,Low,Medium,51,38,52,58,71,79,71
C. Woodrow,26,184,74,2400000,High,Medium,69,73,59,69,32,70,71
Y. Salibur,30,177,76,1800000,High,Medium,85,68,67,73,40,63,71
Jean,26,183,80,2200000,Medium,High,67,49,58,65,73,74,71
M. Barovero,37,182,74,210000,Medium,Medium,70,67,63,72,33,73,71
I. Šaponjić,23,190,88,3800000,Medium,Low,71,71,48,65,31,66,71
A. Hrustić,24,183,74,2600000,Medium,Medium,69,65,71,72,57,68,71
S. Sabelli,28,176,70,1700000,High,Medium,76,40,60,63,68,72,71
E. Le Fée,21,170,58,4200000,Medium,Medium,63,53,73,75,56,46,71
S. Grandsir,24,170,65,2600000,High,Medium,88,60,67,74,47,67,71
E. Cobbaut,23,188,83,2600000,Medium,Medium,67,41,67,67,70,76,71
Jairão Zezé,21,169,62,2200000,Medium,Medium,76,54,73,77,41,47,71
Fernando Karanga,30,191,77,1800000,High,Low,63,71,52,63,30,76,71
J. Locadia,27,185,87,2200000,High,Medium,70,70,66,72,35,73,71
Y. Ōsako,31,182,71,1600000,Medium,Medium,63,69,62,77,41,62,71
C. Vega,27,178,70,1900000,High,High,68,60,65,64,67,72,71
P. Hamel,27,189,76,2200000,Medium,Medium,57,72,57,67,28,63,71
A. Barreca,26,183,70,2100000,High,Medium,72,34,62,72,68,63,71
L. Desábato,31,178,78,1300000,Medium,Medium,66,52,67,62,68,78,71
G. Weissbeck,24,177,70,3800000,Medium,Medium,64,70,71,74,42,64,71
M. Barbieri,27,182,80,2000000,Low,Medium,62,34,42,51,70,70,71
A. Ibargüen,29,168,63,1800000,High,Medium,91,63,65,74,36,42,71
Jessé Ledeiro,21,174,73,2200000,High,Medium,69,63,73,72,37,56,71
T. Xhaka,30,172,72,1600000,Medium,High,72,62,67,66,67,80,71
T. Băluță,22,188,80,4000000,Medium,High,60,49,57,49,69,74,71
J. Abella,27,176,74,2000000,Medium,Medium,73,49,63,62,67,65,71
A. Lucoqui,23,180,79,2600000,High,Medium,79,44,59,68,68,71,71
J. Damm,28,185,70,1900000,High,Medium,92,62,63,72,44,71,71
E. Başsan,29,177,66,1800000,Medium,Medium,76,68,71,73,22,59,71
K. D'Haene,31,168,63,1400000,High,Medium,73,59,67,74,64,61,71
O. Nyland,30,192,90,1200000,Medium,Medium,70,70,76,72,48,71,71
Felipe Vizeu,24,184,82,2700000,High,Medium,72,71,55,68,29,69,71
Mateus,26,167,69,2000000,High,Low,82,69,66,74,52,70,71
Camora,34,177,69,700000,Medium,High,72,57,68,65,66,71,71
F. Plach,29,192,80,1400000,Medium,Medium,71,69,66,72,32,70,71
F. Miguel,24,179,70,2400000,Medium,Medium,68,49,64,69,71,72,71
Jordi Mboula,22,183,74,4200000,Medium,Medium,87,66,62,75,32,63,71
L. Carole,30,182,78,1600000,Medium,Medium,73,40,62,70,71,74,71
Reinier,19,185,82,4500000,Medium,Medium,77,68,64,75,43,65,71
G. Maggiore,23,184,69,2700000,Medium,Medium,66,59,65,70,64,67,71
Raphael Paneira,21,184,78,2200000,Medium,Medium,56,62,68,75,36,60,71
S. Magkeev,22,186,76,4000000,Medium,High,62,34,59,58,73,74,71
J. Clarke-Harris,26,183,78,2100000,Medium,Low,77,72,54,65,27,78,71
J. Bataille,22,181,71,4000000,High,Medium,82,52,65,71,64,67,71
D. Ndongala,30,170,59,1800000,Medium,Medium,86,60,65,76,27,45,71
I. Ndiaye,22,176,65,4200000,High,High,91,66,63,76,57,61,71
R. Boffin,33,196,86,600000,Medium,Medium,72,67,73,72,57,69,71
A. Rodríguez,32,181,80,1500000,High,Medium,70,69,55,68,32,77,71
A. Pellegrino,31,190,68,1600000,High,Medium,83,72,63,70,37,64,71
K. Mrabti,27,175,75,2200000,Medium,Medium,80,72,69,71,51,74,71
Lucas Souza,31,186,80,1300000,Medium,Medium,56,57,57,60,70,81,71
Cassiano,32,184,75,1500000,Medium,Low,66,71,54,63,27,71,71
D. Hotić,25,168,69,2500000,High,Medium,78,68,73,72,43,71,71
L. Ferguson,21,181,75,4200000,High,High,73,71,69,69,68,81,71
F. Moufi,25,177,73,2600000,High,Medium,74,39,60,67,68,75,71
Antonaldo Vaz,21,174,71,2000000,Medium,Medium,71,38,62,66,68,68,71
O. Kayode,28,176,65,1900000,High,Low,88,68,57,73,36,70,71
O. Vranješ,31,182,76,1300000,Low,High,67,47,53,56,70,83,71
H. Dean,29,191,75,1600000,Medium,High,53,33,46,53,71,75,71
C. Styles,21,170,60,4000000,Medium,Medium,69,61,64,73,66,64,71
K. Djidji,28,184,71,1800000,Low,High,61,32,53,63,72,69,71
T. Okriashvili,29,181,71,1800000,High,Low,75,63,66,76,32,52,71
C. Richards,21,188,87,4300000,Medium,Medium,72,27,57,54,71,73,71
Iván Villar,23,189,76,3200000,Medium,Medium,71,69,68,70,33,69,71
Mujaid,21,183,81,3900000,Medium,Medium,73,26,49,55,71,74,71
M. Kaye,26,186,77,2400000,Medium,High,71,55,66,71,68,75,71
K. Dewsbury-Hall,22,177,70,4200000,High,Medium,62,61,68,71,63,66,71
Macarinho Louro,21,175,70,2200000,Medium,Medium,81,60,67,76,32,51,71
H. Canteros,32,176,80,1500000,Medium,Medium,67,67,73,70,64,72,71
C. Christie,28,188,78,1700000,High,Medium,83,53,63,69,66,75,71
M. Morrison,33,188,76,900000,Medium,High,47,38,44,44,72,76,71
G. Shinnie,29,175,72,1600000,Medium,High,68,45,67,65,69,74,71
M. Ritzmaier,28,180,74,1900000,Medium,Medium,69,68,72,72,61,69,71
N. Čumić,22,176,70,4200000,Medium,Medium,82,70,65,75,23,58,71
J. Altidore,31,183,79,1600000,Medium,Low,66,73,60,65,32,80,71
S. Gustafson,26,185,80,2300000,Medium,Medium,61,71,71,70,55,70,71
M. van der Hoorn,28,190,83,1600000,Medium,Medium,49,45,51,47,73,77,71
V. Babacan,32,192,86,925000,Medium,Medium,73,69,67,71,50,75,71
N. Mbuku,19,170,65,4400000,High,Medium,78,64,67,77,34,49,71
G. Fuentes,24,180,74,2600000,Medium,Medium,82,44,60,68,65,73,71
G. Mensah,22,178,64,3600000,Medium,Medium,75,56,64,71,65,65,71
